,Rank,Name,Team,Position,FPTS,AVG,Auction Price
0,1,Christian McCaffrey,CAR,RB,470.2,29.4,$57
1,2,Lamar Jackson,BAL,QB,443.41,29.6,$16
2,3,Michael Thomas,NO,WR,373.6,23.4,$49
3,4,Russell Wilson,SEA,QB,339.5,21.2,$14
4,5,Dak Prescott,DAL,QB,333.76,20.9,$14
5,6,Deshaun Watson,HOU,QB,315.46,21.0,$36
6,7,Aaron Jones,GB,RB,313.8,19.6,$24
7,8,Ezekiel Elliott,DAL,RB,310.7,19.4,$51
8,9,Austin Ekeler,LAC,RB,308.0,19.3,$6
9,10,Patrick Mahomes,KC,QB,292.73,20.9,$18
10,11,Derrick Henry,TEN,RB,292.6,19.5,$17
11,12,Dalvin Cook,MIN,RB,290.4,20.7,$40
12,13,Aaron Rodgers,GB,QB,286.36,17.9,$38
13,14,Jameis Winston,TB,QB,283.27,17.7,$11
14,15,Josh Allen,BUF,QB,278.67,17.4,$9
15,16,Chris Godwin,TB,WR,276.1,19.7,$25
16,17,Carson Wentz,PHI,QB,273.47,17.1,$23
17,18,Julio Jones,ATL,WR,273.1,18.2,$52
18,19,Kyler Murray,Unknown,QB,273.06,17.1,$18
19,20,DeAndre Hopkins,HOU,WR,269.48,18.0,$41
20,21,Cooper Kupp,LAR,WR,267.5,16.7,$20
21,22,Keenan Allen,LAC,WR,261.5,16.3,$39
22,23,Tom Brady,NE,QB,260.11,16.3,$11
23,24,Leonard Fournette,JAX,RB,259.4,17.3,$26
24,25,Matt Ryan,ATL,QB,256.68,17.1,$21
25,26,Julian Edelman,NE,WR,255.81,16.0,$31
26,27,Nick Chubb,CLE,RB,255.2,16.0,$41
27,28,Allen Robinson II,CHI,WR,254.9,15.9,$17
28,29,Travis Kelce,KC,TE,254.3,15.9,$38
29,30,Kenny Golladay,DET,WR,248.0,15.5,$6
30,31,Kirk Cousins,MIN,QB,247.39,16.5,$7
31,32,Amari Cooper,DAL,WR,246.5,15.4,$33
32,33,DeVante Parker,MIA,WR,246.2,15.4,UD
33,34,Alvin Kamara,NO,RB,245.39,17.5,$16
34,35,Drew Brees,NO,QB,244.97,22.3,$12
35,36,Jimmy Garoppolo,SF,QB,243.54,15.2,$3
36,37,Saquon Barkley,NYG,RB,243.1,18.7,$61
37,38,Mark Ingram II,BAL,RB,242.5,16.2,$18
38,39,Jarvis Landry,CLE,WR,237.4,14.8,$12
39,40,Tyler Lockett,SEA,WR,234.2,14.6,$8
40,41,Derek Carr,Unknown,QB,233.82,14.6,$6
41,42,Robert Woods,LAR,WR,232.9,15.5,$28
42,43,Mike Evans,TB,WR,232.7,17.9,$38
43,44,Ryan Tannehill,TEN,QB,231.76,19.3,$21
44,45,Chris Carson,SEA,RB,229.6,15.3,$28
45,46,DJ Moore,CAR,WR,229.5,15.3,$15
46,47,Gardner Minshew II,JAX,QB,226.53,16.2,UD
47,48,Ryan Fitzpatrick,MIA,QB,226.17,15.1,$2
48,49,DJ Chark Jr.,JAX,WR,225.8,15.1,UD
49,50,Joe Mixon,CIN,RB,225.4,14.1,$38
50,51,Jared Goff,LAR,QB,224.14,14.0,$17
51,52,Tyler Boyd,CIN,WR,222.9,13.9,$15
52,53,John Brown,BUF,WR,221.54,14.8,$1
53,54,George Kittle,SF,TE,221.5,15.8,$26
54,55,Darren Waller,Unknown,TE,221.0,13.8,$2
55,56,Courtland Sutton,DEN,WR,220.04,13.8,$3
56,57,Todd Gurley II,LAR,RB,218.4,14.6,$43
57,58,Miles Sanders,PHI,RB,217.7,13.6,$11
58,59,Jacoby Brissett,IND,QB,216.26,14.4,$2
59,60,A.J. Brown,TEN,WR,216.1,13.5,UD
60,61,Zach Ertz,PHI,TE,215.6,14.4,$27
61,62,Le'Veon Bell,NYJ,RB,215.0,14.3,$37
62,63,Daniel Jones,NYG,QB,213.71,16.4,UD
63,64,Kenyan Drake,Unknown,RB,213.2,15.2,$7
64,65,Michael Gallup,DAL,WR,212.7,15.2,$3
65,66,Davante Adams,GB,WR,211.7,17.6,$48
66,67,Stefon Diggs,MIN,WR,211.1,14.1,$31
67,68,Philip Rivers,LAC,QB,210.35,13.1,$11
68,69,Baker Mayfield,CLE,QB,209.91,13.1,$25
69,70,Mark Andrews,BAL,TE,206.2,13.7,UD
70,71,Odell Beckham Jr.,CLE,WR,201.1,12.6,$44
71,72,James White,NE,RB,199.85,13.3,$15
72,73,Phillip Lindsay,DEN,RB,197.7,12.4,$14
73,74,Jamison Crowder,NYJ,WR,197.7,12.4,$3
74,75,Calvin Ridley,ATL,WR,197.0,15.2,$13
75,76,Devonta Freeman,ATL,RB,196.6,14.0,$17
76,77,Marvin Jones Jr.,DET,WR,193.9,14.9,$7
77,78,Mitchell Trubisky,CHI,QB,192.44,12.8,$10
78,79,Emmanuel Sanders,SF,WR,191.95,11.3,$7
79,80,Terry McLaurin,Unknown,WR,191.9,13.7,UD
80,81,Austin Hooper,ATL,TE,191.7,14.7,$1
81,82,Josh Jacobs,Unknown,RB,191.6,14.7,$26
82,83,Tyreek Hill,KC,WR,188.3,15.7,$25
83,84,Deebo Samuel,SF,WR,188.1,12.5,UD
84,85,DK Metcalf,SEA,WR,187.1,11.7,$1
85,86,Cole Beasley,BUF,WR,184.8,12.3,UD
86,87,Andy Dalton,CIN,QB,182.72,14.1,$1
87,88,Marlon Mack,IND,RB,181.3,13.0,$16
88,89,Melvin Gordon,LAC,RB,179.8,15.0,$29
89,90,Larry Fitzgerald,Unknown,WR,177.4,11.1,$4
90,91,Sam Darnold,NYJ,QB,175.92,13.5,$10
91,92,Matthew Stafford,DET,QB,172.57,21.6,$3
92,93,Curtis Samuel,CAR,WR,171.7,10.7,$5
93,94,David Montgomery,CHI,RB,170.4,10.7,$18
94,95,Darius Slayton,NYG,WR,170.0,12.1,UD
95,96,Christian Kirk,Unknown,WR,168.2,12.9,$11
96,97,Jared Cook,NO,TE,167.5,12.0,$7
97,98,Ronald Jones II,TB,RB,165.3,10.3,$2
98,99,Raheem Mostert,SF,RB,165.2,10.3,UD
99,100,Mike Williams,LAC,WR,161.3,10.8,$8
100,101,Robby Anderson,NYJ,WR,161.3,10.1,$13
101,102,Tarik Cohen,CHI,RB,160.9,10.1,$7
102,103,Tyler Higbee,LAR,TE,160.4,10.7,UD
103,104,Diontae Johnson,PIT,WR,160.1,10.0,UD
104,105,Latavius Murray,NO,RB,157.2,9.8,$8
105,106,Chris Conley,JAX,WR,156.5,9.8,UD
106,107,Kyle Allen,CAR,QB,156.26,12.0,UD
107,108,Dede Westbrook,JAX,WR,155.7,10.4,$13
108,109,Duke Johnson,HOU,RB,154.0,9.6,$15
109,110,Randall Cobb,DAL,WR,153.9,10.3,UD
110,111,Golden Tate,NYG,WR,152.2,13.8,$2
111,112,Sony Michel,NE,RB,151.6,9.5,$26
112,113,Carlos Hyde,HOU,RB,151.2,9.5,UD
113,114,Hunter Henry,LAC,TE,150.2,12.5,$7
114,115,Marquise Brown,BAL,WR,146.4,10.5,$4
115,116,Jamaal Williams,GB,RB,146.3,10.5,UD
116,117,Adrian Peterson,Unknown,RB,146.0,9.7,$1
